Record Length,2500,Points,11.9399996E-3,359.99998450E-3,,Record Length,2500,Points,11.9399996E-3,3.45599977E-3,
Sample Interval,1.000000E-6,s,11.9409999E-3,359.99998450E-3,,Sample Interval,1.000000E-6,s,11.9409999E-3,2.87999981E-3,
Trigger Point,-11.9400002E3,Samples,11.9419992E-3,359.99998450E-3,,Trigger Point,-11.9400002E3,Samples,11.9419992E-3,2.3039998E-3,
,,,11.9429994E-3,359.99998450E-3,,,,,11.9429994E-3,2.3039998E-3,
,,,11.9439997E-3,359.99998450E-3,,,,,11.9439997E-3,2.3039998E-3,
,,,11.9449999E-3,359.99998450E-3,,,,,11.9449999E-3,2.87999981E-3,
Source,CH1,,11.9459992E-3,359.99998450E-3,,Source,CH2,,11.9459992E-3,2.87999981E-3,
Vertical Units,Volts,,11.9469995E-3,359.99998450E-3,,Vertical Units,Volts,,11.9469995E-3,4.03199997E-3,
Vertical Scale,499.999988824E-3,,11.9479997E-3,359.99998450E-3,,Vertical Scale,14.3999991E-3,,11.9479997E-3,4.60799970E-3,
Vertical Offset,0,,11.9489999E-3,379.99999523E-3,,Vertical Offset,0,,11.9489999E-3,4.03199997E-3,
Horizontal Units,s,,11.9499993E-3,359.99998450E-3,,Horizontal Units,s,,11.9499993E-3,3.45599977E-3,
Horizontal Scale,249.99999937E-6,,11.9509995E-3,379.99999523E-3,,Horizontal Scale,249.99999937E-6,,11.9509995E-3,3.45599977E-3,
Pt Fmt,Y,,11.9519997E-3,359.99998450E-3,,Pt Fmt,Y,,11.9519997E-3,3.45599977E-3,
Yzero,-280.00000000E-3,,11.9530000E-3,379.99999523E-3,,Yzero,-2.4000000,,11.9530000E-3,2.87999981E-3,
Probe Atten,1.000000,,11.9539993E-3,379.99999523E-3,,Probe Atten,1.000000,,11.9539993E-3,2.87999981E-3,
,,,11.9549995E-3,359.99998450E-3,,,,,11.9549995E-3,2.87999981E-3,
Note,TDS 1001B - 12:08:47   05.02.2025,,11.9559998E-3,379.99999523E-3,,Note,TDS 1001B - 12:08:47   05.02.2025,,11.9559998E-3,4.03199997E-3,
,,,11.9570000E-3,379.99999523E-3,,,,,11.9570000E-3,3.45599977E-3,
,,,11.9579993E-3,379.99999523E-3,,,,,11.9579993E-3,4.60799970E-3,
,,,11.9589996E-3,379.99999523E-3,,,,,11.9589996E-3,4.03199997E-3,
,,,11.9599998E-3,379.99999523E-3,,,,,11.9599998E-3,3.45599977E-3,
,,,11.9610000E-3,379.99999523E-3,,,,,11.9610000E-3,4.03199997E-3,
,,,11.9619993E-3,379.99999523E-3,,,,,11.9619993E-3,4.60799970E-3,
